shntool 3.0.4
Copyright (C) 2000-2007 Jason Jordan <shnutils@freeshell.org>

    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     6:32.06       69162956 B   ---   --   -----    wav  1.0000  Track01.wav
     6:35.65       69830924 B   ---   --   -----    wav  1.0000  Track02.wav
     5:26.15       57541724 B   ---   --   -----    wav  1.0000  Track03.wav
    10:32.08      111503660 B   ---   --   -----    wav  1.0000  Track04.wav
     5:56.62       62944268 B   ---   --   -----    wav  1.0000  Track05.wav
     8:27.07       89451308 B   ---   --   -----    wav  1.0000  Track06.wav
     6:48.09       71992412 B   ---   --   -----    wav  1.0000  Track07.wav
     7:10.00       75852044 B   ---   --   -----    wav  1.0000  Track08.wav
     6:55.14       73238972 B   ---   --   -----    wav  1.0000  Track09.wav
     7:17.63       77235020 B   ---   --   -----    wav  1.0000  Track10.wav
    71:41.24      758753288 B                            1.0000  (10 files)
