shntool 3.0.4
Copyright (C) 2000-2007 Jason Jordan <shnutils@freeshell.org>

    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     6:29.13       68650220 B   ---   --   ---xx   flac  0.5917  Track01.flac
     6:35.65       69830924 B   ---   --   ---xx   flac  0.5519  Track02.flac
     5:26.15       57541724 B   ---   --   ---xx   flac  0.6252  Track03.flac
    10:32.08      111503660 B   ---   --   ---xx   flac  0.5690  Track04.flac
     5:56.62       62944268 B   ---   --   ---xx   flac  0.5046  Track05.flac
     8:27.07       89451308 B   ---   --   ---xx   flac  0.5971  Track06.flac
     6:48.09       71992412 B   ---   --   ---xx   flac  0.5103  Track07.flac
     7:10.00       75852044 B   ---   --   ---xx   flac  0.6021  Track08.flac
     6:55.14       73238972 B   ---   --   ---xx   flac  0.5261  Track09.flac
     7:17.58       77223260 B   ---   --   ---xx   flac  0.6181  Track10.flac
    71:38.26      758228792 B                            0.5703  (10 files)
