shntool 3.0.4
Copyright (C) 2000-2007 Jason Jordan <shnutils@freeshell.org>

    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     6:02.23       63910940 B   ---   --   ---xx   flac  0.6602  Track01.flac
     6:00.73       63675740 B   ---   --   ---xx   flac  0.6558  Track02.flac
     5:27.23       57736940 B   ---   --   ---xx   flac  0.6780  Track03.flac
     7:32.73       79904540 B   ---   --   ---xx   flac  0.6430  Track04.flac
     6:27.73       68438540 B   ---   --   ---xx   flac  0.6554  Track05.flac
     7:06.23       75200540 B   ---   --   ---xx   flac  0.6546  Track06.flac
     5:09.48       54620540 B   ---   --   ---xx   flac  0.6529  Track07.flac
     7:01.23       74318540 B   ---   --   ---xx   flac  0.6911  Track08.flac
     5:29.23       58089740 B   ---   --   ---xx   flac  0.6262  Track09.flac
     6:36.73       70026140 B   ---   --   ---xx   flac  0.6548  Track10.flac
     6:25.73       68085740 B   ---   --   ---xx   flac  0.6315  Track11.flac
    69:21.03      734007940 B                            0.6550  (11 files)
